thread,tid,sent,ManualLabel,codes,stakeholder,signal,intent,action
2129375,2129375:12,"""It's both a library you can use and a data extraction tool, which sounds to me that's exactly what you want to do.""",o,"[""'Usability'""]",,explain suggestion,,
2129375,2129375:13,"""You create XML script files to instruct the scraper how to extract the information you need and from where.""",o,"[""'Usability'""]",,explain suggestion,,
2129375,2129375:14,"""The provided GUI is very useful to quickly test the scripts.""",p,"[""'Usability'""]",User-helper,explain suggestion,,
2129375,2129375:15,"""Check out the URL_http://web-harvest.sourceforge.net/samples.php [project's -samples-page] to see if it's a good fit for what you are trying to do.""",o,"[""'Documentation'""]",,explain suggestion,,
2129375,2129375:16,"""+1 for Web Harvest -- if you are trying to do page scraping it is the way to go.""",p,"[""'Usability'""]",User-supporter,support suggestion,,
2129375,2129375:17,"""The best known are URL_http://nekohtml.sourceforge.net/ [NekoHTML] and URL_http://jtidy.sourceforge.net/ [JTidy] .""",p,"[""'OnlySentiment'""]",,suggestion,,
2129375,2129375:18,"""NekoHTML is based on Xerces, and provides a simple adaptable URL_http://nekoht ml.sourceforge.net/javadoc/org/cyberneko/html/parsers/SAXParser.html [SAXParser] which implements URL_http://java.sun.com/javase/6/docs/api/org/xml/sax/XMLReader.html [XMLReader] JavaSE interface.""",p,"[""'Compatibility'"", ""'Usability'""]",,clarification,,
2129375,2129375:19,"""JTidy is more intented into formatting your html code into something XML- valid, but is still very useful as an XML parser, producing a DOM tree if needed.""",p,"[""'Usability'""]",,suggestion,,
2129375,2129375:20,"""You could have a look at URL_http://java-source.net/open-source/html-parsers [this-list] for other alternatives.""",o,"[""'Others'""]",,suggestion,,
2129375,2129375:21,"""Another choice could be to use URL_http://github.com/whymirror/hpricot [hpricot] through jRuby.""",o,"[""'Others'""]",,suggestion,,
2129375,2129375:22,"""Why?""",o,"[""'Others'""]",,clarification,,
2129375,2129375:23,"""which features do they have?""",o,"[""'Others'""]",,clarification,,
2129375,2129375:24,"""added some details.""",o,"[""'Others'""]",,clarification,,
2129375,2129375:25,"""SAX is not what I want and main purpose of JTidy is cleaning an XML.""",n,"[""'Usability'""]",,Not-interested,,
2129375,2129375:26,"""Are you sure that it does what i want better than others?""",o,"[""'Others'""]",,clarification,,
2129375,2129375:27,"""what do you want exactly, then ?""",o,"[""'Others'""]",,clarification,,
2129375,2129375:28,"""It should be DOM based.""",o,"[""'Others'""]",,clarification,,
2129375,2129375:29,"""and I want extraction as it's main job not transformation.""",o,"[""'Usability'""]",,clarification,,
2129375,2129375:30,"""It doesn't matter what its ""main"" job is, as long as it does what you want it to do.""",o,"[""'Usability'""]",,clarification,,
2129375,2129375:31,"""URL_http://about.validator.nu/htmlparser/ [Validator.nu's-HTML-parser] , definitely.""",o,"[""'OnlySentiment'""]",,suggestion,,
2129375,2129375:32,"""It's an implementation of the HTML5 parsing algorithm, and Gecko is in the process of replacing its own HTML parser with a C++ translation of this one.""",o,"[""'Others'""]",,clarification,,
2129375,2129375:33,"""URL_http://tika.apache.org/ [Apache-Tika] is the best choice.""",p,"[""'OnlySentiment'""]",,suggestion,,
2129375,2129375:34,"""Apache has recently extracted many sub-projects out of the existing projects and made them public.""",o,"[""'Others'""]",,,,
2129375,2129375:35,"""Tika is one of them that was previously a component of Apache Lucene.""",o,"[""'Others'""]",,suggestion,,
2129375,2129375:36,"""Because of Apache's support and reputation and the widely-used parent project Lucene it must be a very good choice.""",p,"[""'Usability'"", ""'Community'""]",,suggestion,,
2129375,2129375:37,"""Furthermore, it is open-source.""",p,"[""'Legal'""]",,explain suggestion,,
2129375,2129375:38,"""A brief introduction from Apache Tika web site: The Apache Tika toolkit detects and extracts metadata and structured text content from various documents using existing parser libraries.""",o,"[""'Documentation'"", ""'Usability'""]",,explain suggestion,,
2129375,2129375:39,"""And the supported formats are: CODESNIPPET_JAVA1 .""",o,"[""'Usability'""]",,explain suggestion,,
2129375,2129375:40,"""Apache Tika is an excellent suggestion.""",p,"[""'OnlySentiment'""]",,support suggestion,,
2129375,2129375:41,"""Even if you are not interested in reading XML/HTML/MS DOC formats you can just specify ""text/plain"".""",o,"[""'Usability'""]",,support suggestion,,
2129375,2129375:42,"""It will stream in the data so it doesn't need to preload the whole file first.""",o,"[""'Usability'""]",,support suggestion,,
2129375,2129375:43,"""List of benefits: URL_http://tika.apache.org/1.4/parser.html Article with sample code: URL_http://www.openlogic.com/wazi/bid/314389/Content-mining-with-Apache-Tika .""",p,"[""'Documentation'""]",,support suggestion,,
2129375,2129375:44,"""I came for a solid HTML Parser, and left with one that I won't have to spend the time to generalize.""",p,"[""'Usability'""]",User-asker,unhappy with suggestions,cannot generalize,
2129375,2129375:45,"""I love this game.""",p,"[""'OnlySentiment'""]",,unhappy with suggestions,,
2129375,2129375:46,"""you probably want to look at doing something like running Mozilla in headless mode.""",o,"[""'Others'""]",,suggestion,,
2129375,2129375:47,"""Here is a URL_http://www.holovaty.com/writing/headless-html-rendering- engine/ [link] to get you started, I am sure you can use Google to find out more information.""",o,"[""'Documentation'""]",,explain suggestion,,
2129375,2129375:48,"""Well: there aren't so many good HTML parsers in java as you need, but here are some alternatives: URL_http://java-source.net/open-source/html-parsers [http ://java-source.net/open-source/html-parsers] Very few of them support Javascript.""",n,"[""'Usability'""]",,alternative choices,,
2129375,2129375:49,"""Actually, I think you'll have to do this part on your own using Rhino ( URL_http://www.mozilla.org/rhino/) .""",o,"[""'Usability'""]",,suggestion,,
2129375,2129375:50,"""I think that URL_http://htmlcleaner.sourceforge.net/ [HTML-Cleaner] is what you're looking for.""",p,"[""'OnlySentiment'""]",,suggestion,,
2129375,2129375:51,"""See its URL_http://www.theserverside.com/news/thread.tss?thread_id=50059 [announcement] on TheServerSide to see how it compare to JTidy, TagSoup, NekoHtml.""",o,"[""'Others'""]",,suggestion,,
2129375,2129375:52,"""But this is also for transforming into well XMLs.""",p,"[""'Usability'""]",,unhappy with suggestions,,
2129375,2129375:53,"""My main goal is extracting data from it.""",o,"[""'Others'""]",,unhappy with suggestions,,
2129375,2129375:54,"""@Shayan So what?""",o,"[""'Others'""]",,unhappy with suggestions,,
2129375,2129375:55,"""Doesn't it allow you to extract data from it?""",n,"[""'Usability'""]",,unhappy with suggestions,,
2129375,2129375:56,"""Doesn't it offer DOM manipulation?""",n,"[""'Usability'""]",,unhappy with suggestions,,
2129375,2129375:57,"""Doesn't it allow to parse nasty HTML?""",n,"[""'Usability'""]",,unhappy with suggestions,,
2129375,2129375:58,"""I don't get you.""",n,"[""'OnlySentiment'""]",,unhappy with suggestions,,
5059224,5059224:1,"""Which is the best library for XML parsing in java.""",o,"[""'Others'""]",,alternative choices,,
5059224,5059224:2,"""I'm searching the java library for parsing XML (complex configuration and data files), I googled a bit but couldn't found other than dom4j (Seems like they are working on V2)..""",n,"[""'Community'""]",,alternative choices,,
5059224,5059224:3,"""I have taken look at commons configuration but didn't liked it, Other apache projects on XML seems under hibernation.""",n,"[""'Community'"", ""'OnlySentiment'""]",,query explain,,
5059224,5059224:4,"""I haven't evaluated dom4j by myself but just wanted to know - Do java has other (Good) open source xml parsing library?""",o,"[""'Others'""]",,query explain,,
5059224,5059224:5,"""and how's your experience with dom4j?""",o,"[""'Usability'""]",,query explain,,
5059224,5059224:6,"""After the @Voo's answer let me ask another one - Should I use java's in built classes or any third library like dom4j.. What are the advantages?""",o,"[""'Usability'""]",,query explain,still searching,
5059224,5059224:7,"""Can you define good?""",o,"[""'Others'""]",,clarification,,
5059224,5059224:8,"""Performance, quality of API, something else?""",o,"[""'Others'""]",,clarification,,
5059224,5059224:9,"""Performance and ease of use (yes, Quality of API).""",p,"[""'Performance'"", ""'Usability'""]",,clarification,,
5059224,5059224:10,"""You've not posted any specific reasons for not using Java's native implementations.""",o,"[""'Usability'""]",,clarification,,
5059224,5059224:11,"""vtd-xml will be the one to beat for performance/memory usage and ease of use.""",p,"[""'Performance'"", ""'Usability'""]",,suggestion,,
5059224,5059224:12,"""Actually Java supports 4 methods to parse XML out of the box: DOM Parser/Builder: The whole XML structure is loaded into memory and you can use the well known DOM methods to work with it.""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:13,"""DOM also allows you to write to the document with Xslt transformations.Example: CODESNIPPET_JAVA1 .""",p,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:14,"""SAX Parser: Solely to read a XML document.""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:15,"""The Sax parser runs through the document and calls callback methods of the user.""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:16,"""There are methods for start/end of a document, element and so on.""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:17,"""They're defined in org.xml.sax.ContentHandler and there's an empty helper class DefaultHandler.""",p,"[""'Others'""]",,explain suggestion,,
5059224,5059224:18,"""CODESNIPPET_JAVA2 .""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:19,"""StAx Reader/Writer: This works with a datastream oriented interface.""",p,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:20,"""The program asks for the next element when it's ready just like a cursor/iterator.""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:21,"""You can also create documents with it.""",p,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:22,"""Read document: CODESNIPPET_JAVA3 .""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:23,"""Write document: CODESNIPPET_JAVA4 .""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:24,"""JAXB: The newest implementation to read XML documents: Is part of Java 6 in v2.""",o,"[""'Others'""]",,suggestion,,
5059224,5059224:25,"""This allows us to serialize java objects from a document.""",p,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:26,"""You read the document with a class that implements a interface to javax.xml.bind.Unmarshaller (you get a class for this from JAXBContext.newInstance).""",o,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:27,"""The context has to be initialized with the used classes, but you just have to specify the root classes and don't have to worry about static referenced classes.You use annotations to specify which classes should be elements (@XmlRootElement) and which fields are elements(@XmlElement) or attributes (@XmlAttribute, what a surprise!""",p,"[""'Usability'""]",,explain suggestion,,
5059224,5059224:28,""") CODESNIPPET_JAVA5 .""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:29,"""Write document: CODESNIPPET_JAVA6 .""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:30,"""Examples shamelessly copied from some old lecture slides ;-) Edit: About ""which API shoild I use?"".""",n,"[""'Documentation'""]",,explain suggestion,,
5059224,5059224:31,"""Well it depends - not all APIs have the same capabilities as you see, but if you have control over the classes you use to map the XML document JAXB is my personal favorite, really elegant and simple solution (though I haven't used it for really large documents, it could get a bit complex).""",p,"[""'Documentation'"", ""'Usability'""]",,explain suggestion,,
5059224,5059224:32,"""SAX is pretty easy to use too and just stay away from DOM if you don't have a really good reason to use it - old, clunky API in my opinion.""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:33,"""I don't think there are any modern 3rd party libraries that feature anything especially useful that's missing from the stl and the standard libraries have the usual advantages of being extremely well tested, documented and stable.""",p,"[""'Documentation'"", ""'Performance'"", ""'Usability'""]",,suggestion,,
5059224,5059224:34,"""I want to note one thing: old doesn't mean bad.""",p,"[""'Others'""]",,explain suggestion,,
5059224,5059224:35,"""2005 is not Jurassic period and I think you shouldn't dismiss a library (in Java, at least) because it hasn't been updated for 5 years.""",p,"[""'Usability'"", ""'Others'""]",,explain suggestion,,
5059224,5059224:36,"""In fact, the last major update of Java we had approximately at the same time.""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:37,"""And when was XML standard finalized?""",o,"[""'Others'""]",,experience,,
5059224,5059224:38,"""I bet more than 10 years ago.""",n,"[""'Others'""]",,explain suggestion,,
5059224,5059224:39,"""I'm not saying it is bad.. but there may be other libraries which are worth noticing :).""",p,"[""'Community'""]",,unhappy with suggestions,,
5059224,5059224:40,"""+1 - Just because a standard is 5 years old doesn't mean implementations of that standard don't continue to release new versions which are faster, more robust, and contain extensions.""",p,"[""'Performance'"", ""'Usability'""]",,support suggestion,,
5059224,5059224:41,"""I would be more concerned about using a proprietary library that hasn't released so much as a patch in a couple of years.""",o,"[""'Legal'"", ""'Others'""]",,support suggestion,,
5059224,5059224:42,"""Nikita's point is an excellent one: don't confuse mature with bad.""",p,"[""'Others'""]",,support suggestion,,
5059224,5059224:43,"""XML hasn't changed much.""",o,"[""'Others'""]",,support suggestion,,
5059224,5059224:44,"""JDOM would be another alternative to DOM4J.""",p,"[""'Compatibility'""]",,alternative choices,,
5059224,5059224:45,"""Which one will you choose and why?""",o,"[""'Others'""]",,suggestion,,
5059224,5059224:46,"""It doesn't really much matter.""",n,"[""'OnlySentiment'""]",,,,
5059224,5059224:47,"""Both are wrappers of the SAX and DOM parsers built into the JDK.""",o,"[""'Usability'""]",,suggestion,,
5059224,5059224:48,"""The W3C Document hierarchy is verbose and hard to use, so both DOM4J and JDOM try to make it easier.""",n,"[""'Usability'""]",,suggestion,,
5059224,5059224:49,"""I like Elliott Rusty Harold, so I tend to reach for JDOM first.""",o,"[""'Community'""]",,suggestion,Author-reputation,
5059224,5059224:50,"""Java supports two methods for XML parsing out of the box.""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:51,""" You can use this parser if you want to parse large XML files and/or don't want to use a lot of memory.""",p,"[""'Performance'"", ""'Usability'""]",,explain suggestion,,
5059224,5059224:52,"""URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAXParserFa ctory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/SAX ParserFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-sax-parser/ ] You can use this parser if you need to do XPath queries or need to have the complete DOM available.""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:53,"""URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/DocumentBui lderFactory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parse rs/DocumentBuilderFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom-parser/ ] .""",o,"[""'Others'""]",,suggestion,,
5059224,5059224:54,"""For folks interested in using JDOM, but afraid that hasn't been updated in a while (especially not leveraging Java generics), there is a fork called CoffeeDOM which exactly addresses these aspects and modernizes the JDOM API, read more here: URL_http://cdmckay.org/blog/2011/05/20/introducing-coffeedom-a-jdom-fork-for- java-5/ [ URL_http://cdmckay.org/blog/2011/05/20/introducing-coffeedom-a-jdom-fork - for-java-5/] and download it from the project page at: URL_http://coffeedom.googlecode.com/ [ URL_http://coffeedom.googlecode.com/ ] .""",p,"[""'Documentation'"", ""'Usability'""]",,suggestion,,
5059224,5059224:55,"""Sax parser is a good one, it is simple with their event-driven API, Have a look at: URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax- parser-in-java/ [ URL_http://www.asjava.com/java-xml/how-to-read-xml-file-via-sax - parser-in-java/] .""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:56,"""You don't need an external library for parsing XML in Java.""",o,"[""'Others'""]",,unhappy with suggestions,,
5059224,5059224:57,"""Java has come with built-in implementations for SAX and DOM for ages.""",p,"[""'Usability'""]",,suggestion,,
5059224,5059224:58,"""Look at vtd-XML, DOM and SAX are somewhat ancient APIs that has not been updated/improved for a while.""",n,"[""'Others'""]",,suggestion,,
5059224,5059224:59,"""If you want a DOM-like API - that is, one where the XML parser turns the document into a tree of Element and Attribute nodes - then there are at least four to choose from: DOM itself, JDOM, DOM4J, and XOM.""",o,"[""'Usability'""]",,suggestion,,
5059224,5059224:60,"""The only possible reason to use DOM is because it's perceived as a standard and is supplied in the JDK: in all other respects, the others are all superior.""",n,"[""'Usability'""]",,suggestion,,
5059224,5059224:61,"""My own preference, for its combination of simplicity, power, and performance, is XOM.""",p,"[""'Performance'"", ""'Usability'""]",,suggestion,preference,
5059224,5059224:62,"""And of course, there are other styles of processing: low-level parser interfaces (SAX and StAX), data-object binding interfaces (JAXB), and high- level declarative languages (XSLT, XQuery, XPath).""",o,"[""'Others'""]",,explain suggestion,,
5059224,5059224:63,"""Which is best for you depends on your project requirements and your personal taste.""",o,"[""'Others'""]",,,,
5059224,5059224:64,"""DOM is a W3C standard ( URL_http://www.w3.org/DOM/) .""",o,"[""'Others'""]",,support suggestion,,
5059224,5059224:65,"""The Java implementation of this standard is covered by the JAXP standard ( URL_http://jcp.org/en/jsr/detail?id=206) .""",o,"[""'Documentation'"", ""'Others'""]",,support suggestion,,
5059224,5059224:66,"""JAXP is then implemented by different providers such as: Oracle, Apache, etc.""",o,"[""'Others'""]",,support suggestion,,
35785,35785:1,"""XML serialization in Java?""",o,"[""'Others'""]",,,,
35785,35785:2,"""Is there a (preferably free) Java analogue of .NET's XML serialization?""",o,"[""'Others'""]",,alternative choices,,
35785,35785:3,"""URL_http://xstream.codehaus.org/ [XStream] is pretty good at serializing object to XML without much configuration and money!""",p,"[""'Usability'"", ""'Others'""]",,suggestion,,
35785,35785:4,"""(it's under BSD license).""",o,"[""'Legal'""]",,suggestion,,
35785,35785:5,"""We used it in one of our project to replace the plain old java-serialization and it worked almost out of the box.""",p,"[""'Usability'""]",,used,,used
35785,35785:6,"""Very useful, it can have problems on complecated tree structures such as JGraph with non string node objects though.""",p,"[""'Usability'""]",,used,,
35785,35785:7,"""Simpler and better then other solutions.""",p,"[""'Usability'""]",,support suggestion,,
35785,35785:8,"""I like XStream.""",p,"[""'OnlySentiment'""]",,suggestion,like,
35785,35785:9,"""Only thing is that I don't understand why a character is added before the actual XML.""",n,"[""'Others'""]",,,,
35785,35785:10,"""The ""Official"" Java API for this is now JAXB - Java API for XML Binding.""",o,"[""'Others'""]",,suggestion,,
35785,35785:11,"""The reference implementation lives at URL_http://jaxb.java.net/ [ URL_http://jaxb.java.net/ ] .""",o,"[""'Documentation'""]",,explain suggestion,,
35785,35785:12,"""That's right, JAXB is definitely the best option!.""",p,"[""'OnlySentiment'""]",,support suggestion,,
35785,35785:13,"""You may want to look at URL_http://simple.sourceforge.net/ [Simple] , its the closest thing I've found to the System.Xml.Serialization in .Net.""",o,"[""'Others'""]",,suggestion,,
35785,35785:14,"""It does however require mapping annotations for each field.""",n,"[""'Usability'""]",,explain suggestion,,
35785,35785:15,"""Not true, I doesn't require.""",n,"[""'OnlySentiment'""]",,explain suggestion,,
35785,35785:16,"""You can change default behaviour and it will use only present fields.""",o,"[""'Usability'""]",,explain suggestion,,
35785,35785:17,"""JAXB is part of JDK standard edition version 1.6+.""",o,"[""'Others'""]",,suggestion,,
35785,35785:18,"""So it is CODETERM1 and no extra libraries to download and manage.A simple example can be found URL_ht tp://www.java2s.com/Code/Java/JDK-6/MarshalJavaobjecttoxmlandoutputtoconsole.h tm [here] XStream seems to be dead.""",p,"[""'Usability'""]",,support suggestion,,
35785,35785:19,"""Last update was on Dec 6 2008.""",o,"[""'Others'""]",,support suggestion,,
35785,35785:20,"""CODETERM2 seems as easy and simpler as JAXB but I could not find any licensing information to evaluate it for enterprise use.""",p,"[""'Usability'"", ""'Legal'""]",,support suggestion,,
35785,35785:21,"""XStream is not dead, it is just mature and stable -- meaning there isn't much to add to core functionality.""",p,"[""'Usability'""]",,suggestion,,
35785,35785:22,"""Same is actually true for JAXB reference implementation, not much activity for past couple of years.""",n,"[""'Community'""]",,support suggestion,,
35785,35785:23,"""URL_http://xmlbeans.apache.org/ [XMLBeans] works great if you have a schema for your XML.""",p,"[""'Usability'""]",,suggestion,,
35785,35785:24,"""It creates Java objects for the schema and creates easy to use parse methods.""",p,"[""'Usability'""]",,explain suggestion,,
35785,35785:25,"""Worth mentioning that since version 1.4, Java had the classes java.beans.XMLEncoder and java.beans.XMLDecoder.""",o,"[""'Others'""]",,explain suggestion,,
35785,35785:26,"""These classes perform XML encoding which is at least very comparable to XML Serialization and in some circumstances might do the trick for you.""",p,"[""'Others'""]",,explain suggestion,,
35785,35785:27,"""If your class sticks to the JavaBeans specification for its getters and setters, this method is straightforward to use and you don't need a schema.""",p,"[""'Usability'""]",,explain suggestion,,
35785,35785:28,"""With the following caveats: As with normal Java serialization coding and decoding run over a InputStream and OutputStream the process uses the familar writeObject and readObject methods In contrast to normal Java serialization the encoding but also decoding causes constructors and initializers to be invoked encoding and decoding work regardless if your class implements Serializable or not transient modifiers are not taken into account works only for public classes, that have public constructors For example, take the following declaration: CODESNIPPET_JAVA1 .""",o,"[""'Others'""]",,explain suggestion,,
35785,35785:29,"""Executing this code: CODESNIPPET_JAVA2 .""",o,"[""'Others'""]",,,,
35785,35785:30,"""Would result in the following file: CODESNIPPET_JAVA3 .""",o,"[""'Others'""]",,,,used
35785,35785:31,"""Usually I use URL_http://jaxb.java.net/ [jaxb] or URL_http://xmlbeans.apache.org/ [XMLBeans] if I need to create objects serializable to XML.""",o,"[""'Others'""]",,suggestion,,
35785,35785:32,"""Now, I can see that URL_http://xstream.codehaus.org/ [XStream] might be very useful as it's nonintrusive and has really simple api.""",p,"[""'Usability'""]",,suggestion,,
35785,35785:33,"""I'll play with it soon and probably use it.""",p,"[""'OnlySentiment'""]",,suggestion,,
35785,35785:34,"""The only drawback I noticed is that I can't create object's id on my own for cross referencing.""",n,"[""'Usability'""]",,explain suggestion,,
35785,35785:35,"""@Barak Schiller Thanks for posting link to XStream!""",p,"[""'Community'"", ""'Others'""]",,support suggestion,,
35785,35785:36,"""Problem is jaxb and xmlbeans require a mapping schema and arent auto ...""",n,"[""'Portability'""]",,unhappy with suggestions,,
35785,35785:37,"""Don't forget URL_http://jibx.sourceforge.net/ [JiBX] .""",o,"[""'Others'""]",,suggestion,,
35785,35785:38,"""if you want a solution** (like ORM) then JAXB2 is a good solution.""",p,"[""'Usability'""]",,suggestion,,
35785,35785:39,"""If you want a serialization like DOT NET then you could use URL_http://java.sun.com/products/jfc/tsc/articles/persistence3/ [Long-Term- Persistence-of-JavaBeans-Components] The choice depends on use of serialization.""",o,"[""'Usability'""]",,explain suggestion,,
35785,35785:40,"""If you're talking about automatic XML serialization of objects, check out URL_http://www.castor.org/ [Castor] : Castor is an Open Source data binding framework for Java[tm].""",o,"[""'Others'""]",,suggestion,,
35785,35785:41,"""It's the shortest path between Java objects, XML documents and relational tables.""",p,"[""'Usability'""]",,explain suggestion,,
35785,35785:42,"""Castor provides Java-to-XML binding, Java-to-SQL persistence, and more.""",p,"[""'Usability'""]",,explain suggestion,,
12399462,12399462:1,"""Rhino print function.""",o,"[u""'Others'""]",,,,
12399462,12399462:2,"""I'm using Rhino 1.7R4 and env.js 1.2 to run Javascript code inside Java I want to print from my Javascript code a string to the Java console.""",o,"[u""'Usability'""]",,used,,
